FIRM,ESTAB,EMP,CSTELEC,ELECGEN,ELECPCH,state
266,303,3964,71517,0,1053131,28
152,262,3600,35889,0,497230,29
49,61,1284,7993,0,72172,34
211,276,3585,21805,0,268312,36
88,177,2809,28321,0,391481,37
539,677,9215,49464,0,644392,39
2434,2758,42363,0,0,2717105,40
14,14,145,0,0,11205,44
43,70,1481,0,0,229443,45
6258,7814,208828,930355,0,13881073,48
0,0,0,0,745,0,50
119,156,2123,20145,0,262171,53
414,531,19274,212804,0,3774227,54
123,150,5774,0,0,0,55
474,654,17119,307603,0,2439690,6
141,179,3553,0,0,0,12
97,169,5342,79855,0,1210951,13
292,372,9641,71442,0,1002239,21
268,308,4563,60699,0,806679,26
277,293,5439,106741,0,1674629,30
89,105,1000,9313,0,122553,31
34,39,302,0,0,0,33
619,721,17054,161451,650,2692007,35
416,511,18091,150185,0,1792612,38
98,120,1228,13327,0,181213,41
372,399,8404,75853,0,976097,49
119,150,10922,0,0,1091216,2
270,322,4313,0,0,279462,5
980,1145,24260,300579,0,4018816,8
0,0,0,0,0,0,10
404,486,7667,83267,0,1282488,17
154,265,5551,53128,0,624234,18
58,176,2217,0,0,184644,19
48,59,870,4143,0,0,25
853,910,6756,55542,0,651081,20
35,48,896,8731,0,109375,24
16,17,75,370,0,4259,23
114,133,5663,368996,0,5946622,27
160,172,12726,360127,0,7372253,32
732,975,24341,131249,547,2060890,42
46,56,1020,0,0,104048,46
97,185,2853,46112,0,421484,47
150,242,5615,46600,0,572124,51
578,691,18217,186345,0,2726268,56
143,195,4963,51713,0,677296,1
141,194,10244,193418,1151,3602050,4
35,55,715,5802,0,48133,9
100,110,2633,0,0,1952174,16
0,0,0,0,0,0,15
1123,1431,34236,107783,0,1621077,22
